sub	nkept_epos	perc_rejected	nbad_faster	nbad_annot
1	5713	4.783333333333333	176	111
2	5674	5.433333333333333	103	223
3	5645	5.916666666666667	132	223
4	5512	8.133333333333333	254	234
5	5823	2.95	111	66
6	5676	5.4	161	163
7	5546	7.566666666666666	130	324
8	5775	3.75	174	51
9	5787	3.55	125	88
10	5840	2.666666666666667	125	35
11	5738	4.366666666666666	79	183
12	5726	4.566666666666666	123	151
13	5405	9.916666666666666	277	318
14	5909	1.5166666666666666	80	11
16	5751	4.15	104	145
17	5839	2.6833333333333336	104	57
18	5845	2.583333333333333	108	47
19	5625	6.25	109	266
20	5774	3.7666666666666666	110	116
21	5829	2.85	168	3
22	5731	4.483333333333333	197	72
24	5809	3.183333333333333	159	32
25	5535	7.75	61	404
26	5862	2.3	117	21
27	5726	4.566666666666666	154	120
28	5773	3.783333333333333	218	9
29	5822	2.966666666666667	97	81
30	5771	3.816666666666667	154	75
31	5690	5.166666666666667	121	189
32	5840	2.666666666666667	122	38
